date,state_x,cases,deaths,state_y,anxiety,cough,depression,fever,generalized_anxiety_disorder,nausea,State,State Code,Region,Division
2020-02-12,Arizona,1,0,US-AZ,8.39,9.31,5.45,5.33,1.23,2.04,Arizona,AZ,West,Mountain
2020-02-12,California,7,0,US-CA,8.78,9.24,5.43,5.57,1.22,2.08,California,CA,West,Pacific
2020-02-12,Illinois,2,0,US-IL,7.87,8.35,5.22,5.48,1.16,2.02,Illinois,IL,Midwest,East North Central
2020-02-12,Massachusetts,1,0,US-MA,7.96,8.22,5.09,5.1,1.11,1.86,Massachusetts,MA,Northeast,New England
2020-02-12,Texas,1,0,US-TX,7.99,8.82,5.18,4.96,1.19,2.1,Texas,TX,South,West South Central
2020-02-12,Washington,1,0,US-WA,9.33,7.76,6.21,4.99,1.26,2.32,Washington,WA,West,Pacific
2020-02-12,Wisconsin,1,0,US-WI,7.49,8.21,5.04,5.3,1.17,1.84,Wisconsin,WI,Midwest,East North Central
2020-02-13,Arizona,1,0,US-AZ,8.07,9.03,5.26,5.22,1.09,2.07,Arizona,AZ,West,Mountain
2020-02-13,California,7,0,US-CA,8.32,8.91,5.13,5.41,1.12,2.0,California,CA,West,Pacific
2020-02-13,Illinois,2,0,US-IL,7.26,7.98,4.7,5.18,1.01,1.87,Illinois,IL,Midwest,East North Central
2020-02-13,Massachusetts,1,0,US-MA,7.67,7.88,4.93,5.01,1.08,1.88,Massachusetts,MA,Northeast,New England
2020-02-13,Texas,2,0,US-TX,7.67,8.4,4.75,4.75,1.13,2.05,Texas,TX,South,West South Central
2020-02-13,Washington,1,0,US-WA,9.03,7.73,5.93,5.01,1.23,2.28,Washington,WA,West,Pacific
2020-02-13,Wisconsin,1,0,US-WI,6.96,7.6,4.52,5.05,1.0,1.79,Wisconsin,WI,Midwest,East North Central
2020-02-14,Arizona,1,0,US-AZ,6.73,8.31,4.22,4.81,0.87,1.93,Arizona,AZ,West,Mountain
2020-02-14,California,7,0,US-CA,7.08,8.17,4.41,4.99,0.91,1.93,California,CA,West,Pacific
2020-02-14,Illinois,2,0,US-IL,6.13,7.48,3.91,4.63,0.79,1.78,Illinois,IL,Midwest,East North Central
2020-02-14,Massachusetts,1,0,US-MA,6.26,7.01,3.95,4.19,0.86,1.77,Massachusetts,MA,Northeast,New England
2020-02-14,Texas,2,0,US-TX,6.36,7.49,4.07,4.32,0.9,1.88,Texas,TX,South,West South Central
2020-02-14,Washington,1,0,US-WA,7.7,7.08,4.97,4.49,0.99,2.08,Washington,WA,West,Pacific
2020-02-14,Wisconsin,1,0,US-WI,5.83,7.06,3.69,4.53,0.85,1.64,Wisconsin,WI,Midwest,East North Central
2020-02-15,Arizona,1,0,US-AZ,6.99,8.96,4.52,5.28,0.86,2.19,Arizona,AZ,West,Mountain
2020-02-15,California,7,0,US-CA,7.22,9.14,4.66,5.5,0.87,2.23,California,CA,West,Pacific
2020-02-15,Illinois,2,0,US-IL,6.5,8.32,4.21,5.19,0.86,2.05,Illinois,IL,Midwest,East North Central
2020-02-15,Massachusetts,1,0,US-MA,6.52,7.99,4.18,4.84,0.79,1.89,Massachusetts,MA,Northeast,New England
2020-02-15,Texas,2,0,US-TX,6.73,8.59,4.3,4.88,0.88,2.34,Texas,TX,South,West South Central
2020-02-15,Washington,1,0,US-WA,7.77,7.81,5.26,4.77,0.92,2.35,Washington,WA,West,Pacific
2020-02-15,Wisconsin,1,0,US-WI,6.11,8.13,3.91,5.0,0.8,2.09,Wisconsin,WI,Midwest,East North Central
2020-02-16,Arizona,1,0,US-AZ,7.74,9.6,5.0,5.52,0.96,2.14,Arizona,AZ,West,Mountain
2020-02-16,California,7,0,US-CA,7.8,9.72,5.0,5.73,0.93,2.31,California,CA,West,Pacific
2020-02-16,Illinois,2,0,US-IL,7.21,8.72,4.48,5.39,0.94,2.19,Illinois,IL,Midwest,East North Central
2020-02-16,Massachusetts,1,0,US-MA,7.16,8.32,4.51,5.09,0.92,2.14,Massachusetts,MA,Northeast,New England
2020-02-16,Texas,2,0,US-TX,7.42,8.96,4.64,5.23,0.97,2.32,Texas,TX,South,West South Central
2020-02-16,Washington,1,0,US-WA,8.29,8.24,5.56,4.99,1.04,2.47,Washington,WA,West,Pacific
2020-02-16,Wisconsin,1,0,US-WI,6.76,8.68,4.46,5.46,0.88,2.1,Wisconsin,WI,Midwest,East North Central
2020-02-17,Arizona,1,0,US-AZ,8.59,9.63,5.3,5.52,1.15,2.3,Arizona,AZ,West,Mountain
2020-02-17,California,7,0,US-CA,8.5,9.41,5.36,5.7,1.12,2.3,California,CA,West,Pacific
